"","Doxorubicin_IC_50","Etoposide_IC_50","Gemcitabine_IC_50","Mitomycin.C_IC_50","Vinorelbine_IC_50","NSC.87877_IC_50","Bicalutamide_IC_50","QS11_IC_50","Midostaurin_IC_50","CHIR.99021_IC_50","AP.24534_IC_50","AZD6482_IC_50","JNK.9L_IC_50","PF.562271_IC_50","DMOG_IC_50","FTI.277_IC_50","OSU.03012_IC_50","Shikonin_IC_50","AKT.inhibitor.VIII_IC_50","Embelin_IC_50","FH535_IC_50","PAC.1_IC_50","IPA.3_IC_50","GSK.650394_IC_50","BAY.61.3606_IC_50","Thapsigargin_IC_50","Obatoclax.Mesylate_IC_50","BMS.754807_IC_50","OSI.906_IC_50","Bexarotene_IC_50","Bleomycin_IC_50","LFM.A13_IC_50","AUY922_IC_50","Bryostatin.1_IC_50","Pazopanib_IC_50","LAQ824_IC_50","Epothilone.B_IC_50","GSK.1904529A_IC_50","Tipifarnib_IC_50","AS601245_IC_50","AICAR_IC_50","Camptothecin_IC_50","Vinblastine_IC_50","Cisplatin_IC_50","Cytarabine_IC_50","Docetaxel_IC_50","Methotrexate_IC_50","ATRA_IC_50","Gefitinib_IC_50","ABT.263_IC_50","Vorinostat_IC_50","RDEA119_IC_50","Temsirolimus_IC_50","AZD.2281_IC_50","ABT.888_IC_50","Bosutinib_IC_50","Lenalidomide_IC_50","Axitinib_IC_50","AZD7762_IC_50","GW.441756_IC_50","CEP.701_IC_50","X17.AAG_IC_50","VX.702_IC_50","AMG.706_IC_50","KU.55933_IC_50","Elesclomol_IC_50","BIBW2992_IC_50","GDC.0449_IC_50","PLX4720_IC_50","BX.795_IC_50","NU.7441_IC_50","BIRB.0796_IC_50","JNK.Inhibitor.VIII_IC_50","Nutlin.3a_IC_50","PD.173074_IC_50","RO.3306_IC_50","NVP.BEZ235_IC_50","GDC0941_IC_50","AZD8055_IC_50","PD.0325901_IC_50","CCT007093_IC_50","EHT.1864_IC_50","BMS.708163_IC_50","PF.4708671_IC_50","JNJ.26854165_IC_50","TW.37_IC_50","AG.014699_IC_50"
"EW-18",-1.382709,3.488411,-2.620699,1.370877,-4.955355,6.369079,4.858671,2.896967,-1.132174,5.350735,2.77246,3.020838,-0.154198,1.11619,7.317769,2.637044,1.274005,-0.637493,3.011087,2.352213,2.259611,4.043608,4.130677,4.395721,1.52164,-6.159894,-2.038251,-2.637095,-1.309292,5.615611,4.328755,6.867573,-2.243916,-0.611168,5.814681,-3.177259,-5.941303,5.184562,-0.781087,2.924412,8.793321,-1.532768,-4.964399,3.908725,1.947335,-5.083892,0.441295,5.397104,2.304725,-3.254374,-0.444545,4.638835,-1.740162,3.681051,4.981526,2.255547,3.869471,1.641951,-0.083498,5.290543,-0.820722,3.146968,2.602177,4.904784,3.815202,-2.567054,2.806362,3.310252,4.121076,1.201367,3.232616,7.050382,7.055812,4.717355,3.976215,5.201899,-3.674136,-1.980787,-1.471579,2.884144,5.955778,6.014035,6.436164,5.576577,4.425206,-0.427251,3.77555
"EW-24",-0.03005,5.334465,4.073062,-0.244664,-1.291923,6.44663,4.508125,5.443482,3.058521,5.768539,3.83238,6.690078,4.67776,5.692928,7.734563,4.44851,4.777209,2.680522,5.307525,3.905877,6.17807,3.90215,7.070686,5.75689,4.00999,-1.900699,-1.079274,5.687766,6.131183,6.842297,4.557361,7.460762,-1.244435,-0.164529,6.208406,0.724415,-2.677604,5.347281,4.64722,4.655705,8.866223,-3.725296,-0.709824,4.676046,3.354501,-0.596646,0.351719,5.345314,2.677601,0.976245,1.437854,5.924179,0.455011,5.17431,5.266191,2.426689,5.216401,3.578717,2.345944,4.644093,1.563616,3.8524,4.873713,4.387342,5.406605,1.398378,3.164771,5.452315,5.807522,4.632461,4.577973,6.554919,5.613861,6.400036,4.946276,5.758217,-1.542646,2.821422,0.79996,2.918667,5.655857,3.07063,5.381509,2.901589,5.407765,1.82112,6.038505
"EW-3",-1.273348,2.662614,-0.545479,-2.78146,-1.702467,6.773047,4.545313,3.663146,1.871535,5.173631,2.618584,3.277705,1.442933,5.479266,7.5422,3.111432,3.036858,-0.326416,1.730617,4.025646,3.775748,3.836959,3.385853,5.928128,1.5944,-2.137172,1.226567,1.256857,0.741194,5.284962,2.917848,6.050274,-1.743746,0.01603,6.273135,-1.80662,-1.291981,4.32886,3.432639,3.829124,7.761191,-6.507045,-4.221616,0.893499,-0.980748,-3.407319,-2.109189,6.705244,3.43695,-3.836422,-0.533419,6.336694,-1.289538,2.797298,3.692212,1.961255,5.927353,3.715895,1.175708,4.736806,-0.08483,2.107907,4.316078,3.94363,7.169269,-2.275055,3.394566,5.235327,6.500161,2.817968,5.382167,6.227857,6.914144,4.720908,5.106754,4.887105,-2.078557,-0.174095,0.951472,2.687343,5.7189,5.564342,6.359273,6.978737,3.382523,0.122178,3.409801
"EW-7",-3.485828,-2.078993,-12.868418,-4.411175,-4.092456,7.657086,4.258977,5.209131,-0.382793,5.653304,1.302079,-0.14669,-0.577135,3.003841,6.591761,4.152722,3.328017,0.255346,3.566985,3.143171,4.970193,2.325161,5.710497,6.155165,0.682041,-5.060157,-6.345857,-2.796766,-1.667009,6.20613,1.117977,3.783857,-4.887594,-0.247064,6.518418,-3.590603,-6.098932,4.120361,5.100533,3.971238,8.313836,-6.016198,-2.422898,1.038708,-0.91058,-2.240395,-2.446624,4.727944,2.644609,-0.528673,-0.044695,4.983506,-1.171488,3.917786,5.386291,3.273932,5.983362,3.163934,-1.326468,5.401404,0.364458,3.449855,2.949321,5.397662,4.906958,-0.45815,2.722263,4.913179,5.645301,2.386976,4.000029,7.086055,6.850943,2.581697,2.75017,5.970603,-3.491067,0.009315,-0.215865,3.024816,4.447029,6.530599,6.283204,5.460394,3.803433,1.942753,5.623786
"EoL-1-cell",-3.583347,-1.19826,-7.391883,-1.817737,-4.700983,6.656607,5.307803,0.630752,-2.954999,3.083676,-17.142772,3.920537,-0.69147,3.80474,4.806447,3.40763,0.685385,-0.675794,3.298604,1.906501,1.598884,2.568131,4.516691,2.427356,-1.100356,-3.722118,-2.165687,2.159817,1.81899,3.146227,0.882083,6.269038,0.463037,-4.179232,-10.45201,-3.613966,-4.350893,4.425529,1.903939,0.910394,4.597136,-6.110313,-6.567799,3.515493,-0.784204,-4.948896,-5.135821,-5.917454,1.875771,-3.225036,-1.291381,-1.203383,-1.490463,2.628635,4.906305,0.154571,4.368103,-11.982509,-11.116802,2.892249,-4.596143,0.582343,2.060731,-10.779371,4.260023,-4.085701,1.435714,2.410386,1.738046,-3.065324,1.762895,0.288578,6.658992,0.749873,1.135049,5.848076,-3.207527,-0.13025,-2.514994,-2.301617,4.081909,1.722744,5.583781,1.974143,0.094197,1.18201,2.824314
"FADU",-2.280989,0.248061,-2.249485,-2.053472,-3.025851,6.849614,4.578837,7.079801,0.170141,5.999142,3.877495,2.964506,-0.335423,3.277717,4.604234,2.722801,3.029575,0.568938,5.067552,2.75866,1.452879,5.425145,7.442974,5.071788,4.27583,-1.779177,-0.852176,4.16647,5.427337,6.254079,1.636612,5.394531,-2.696415,-2.218555,4.609148,-2.114757,-3.641772,4.486799,2.126328,5.271438,7.264664,-6.264339,-4.116606,4.9595,-0.280957,-6.318476,2.603821,6.803956,-1.550424,2.646943,0.383212,-0.264488,-1.174762,5.767792,5.966517,-0.110093,6.155243,2.649808,-1.476541,1.317513,-1.300395,-5.5623,4.9575,2.108889,6.148219,-5.639741,-2.687408,6.632116,6.082596,1.609791,2.664008,4.665278,5.608859,5.69547,5.297568,2.561249,-0.261027,0.388098,1.031079,-3.361394,2.855581,5.51948,6.156053,2.617337,1.642167,-0.642907,2.066191
"FTC-133",-1.472431,1.277897,-2.436226,-0.659291,-1.173147,7.222611,4.210587,6.472367,3.245158,4.68664,3.92752,4.485304,2.101573,4.441362,9.196518,1.139691,6.55292,1.748008,2.856844,4.147135,1.908029,4.916871,7.56897,6.499506,5.245834,1.995432,1.295982,2.648938,4.131895,3.528347,0.257418,6.726957,0.93094,-2.665671,4.706542,-2.526395,-3.491462,3.576058,3.150574,5.432326,11.666539,-5.388873,-4.774341,1.562415,0.326123,-7.403561,0.921856,5.693116,2.425523,1.512817,1.56708,1.514297,-2.984129,6.053318,5.350239,2.992244,6.03195,4.373241,-1.195173,5.50031,-1.845004,-1.799392,2.289355,3.713123,6.241116,-3.611566,2.410604,4.393923,5.761012,1.105655,2.485543,4.759609,5.365716,6.025361,3.251094,5.22236,-3.684863,3.487559,2.434062,-0.147878,5.854743,5.738406,4.733109,4.950338,1.989166,-0.499828,4.042051
"G-361",-3.579771,-0.181676,-3.859922,-2.088037,-5.647841,7.171165,2.880656,0.720546,-1.567676,2.010307,-0.199712,1.36096,-1.325001,1.408691,7.071311,4.241893,3.353121,-0.748224,4.557065,1.774555,0.570635,0.171964,6.734361,1.313038,1.457977,-4.540529,-6.693036,0.034543,4.144459,3.857585,-2.426939,5.973524,-3.620502,-4.273423,1.112126,-4.755034,-7.262547,4.483316,0.130095,3.25181,11.273124,-2.633816,-3.537044,2.515294,0.228907,-4.79949,-0.741831,6.118456,3.538105,5.063521,-1.697184,-2.251955,-1.24893,6.271354,6.35844,2.062763,6.341477,4.162864,-2.273781,2.912993,-1.085588,-0.677412,5.359328,4.387406,5.266556,-4.894006,3.121054,6.797365,1.169504,3.761951,3.857481,5.707101,6.523056,3.113281,5.393641,5.913285,-2.340767,1.489966,-0.59311,-8.277289,5.823154,2.935152,3.913547,4.47901,2.367896,-2.079833,6.247989
"G-401",-3.499991,0.362506,-2.89753,-0.454962,-4.844212,7.513128,4.064238,4.710149,-1.498841,4.982473,-0.065126,1.404215,-0.966622,1.193341,7.285595,2.470755,1.646364,-1.44849,2.93474,2.118285,-0.149298,0.006979,2.019189,2.948672,1.748975,-3.68455,-3.476158,-2.691108,-1.702096,3.870611,1.190858,5.886292,-4.58039,-2.483149,0.381317,-4.114026,-6.496039,1.135527,-0.687932,1.036595,10.3639,-3.954927,-4.747774,1.981177,-0.276769,-6.450823,-0.447838,5.707035,3.1375,5.562573,1.33259,0.675937,-2.419532,3.35024,6.140731,4.750188,6.291092,3.982482,1.576586,5.12045,-0.822756,-2.267887,4.546201,4.886471,4.810671,-5.216583,0.515293,5.126127,6.490079,0.940392,2.376082,4.204457,7.017173,1.2129,0.904982,4.912873,-3.198676,0.483437,-1.171636,-0.058788,5.583096,3.327862,4.930064,3.880357,2.113773,-0.776681,2.854757
"GAK",-1.359031,3.222929,-0.986339,-0.517111,-2.275716,7.175452,4.313319,4.198192,2.427874,5.019752,3.311363,2.948649,-0.23619,4.646313,6.651596,3.040261,2.565012,0.036999,3.485718,2.463044,0.696633,4.697111,6.225467,4.099763,4.854803,-1.613417,-4.770113,3.787071,5.031831,2.617985,4.837326,4.510777,-2.858786,-2.503132,3.43723,-2.919369,-4.303065,2.82396,1.335611,1.9076,11.332914,-1.522961,-1.514779,6.193524,1.922846,-4.243565,2.175444,5.768121,3.068005,5.663588,3.473878,-0.570282,0.409887,6.216918,6.241416,5.49903,6.157143,4.220761,0.049502,3.823322,-1.165348,-1.997501,4.452075,5.121663,5.991264,-0.09039,3.230659,6.042106,5.278255,4.949815,4.039502,7.196547,6.09802,3.575012,4.392653,5.956445,-2.313383,4.65385,0.276559,-2.704947,6.499945,5.94908,3.975834,6.409195,2.924342,0.706993,5.055529
"GAMG",-2.814125,0.960711,-5.588958,-0.848137,-4.340761,7.466718,3.991595,3.480354,0.16438,4.998882,-0.305803,1.488283,0.289509,2.67812,7.227411,3.208126,1.512568,0.536322,1.737941,2.207186,1.718502,4.825469,3.918988,1.361314,4.485968,-4.725723,-2.847394,0.023441,3.145735,3.386774,-1.240108,5.398219,-4.289336,-0.039722,1.820955,-3.584031,-6.328547,4.369028,2.187861,3.874583,7.729544,-6.484193,-3.943302,5.667348,-0.932306,-7.548621,-0.216949,3.632982,1.872755,2.352913,0.894294,1.738362,-5.566653,3.400964,4.85412,2.267511,5.083944,4.074169,-0.952768,4.001945,-0.962335,-3.371278,3.09248,4.412997,3.97751,-5.98764,1.364339,6.251271,3.923472,1.03898,2.033569,6.168039,4.387098,6.1062,1.242932,1.681107,-3.938438,-0.991967,-0.585941,-0.698009,4.566419,4.906616,3.670191,4.035929,2.699231,-1.549365,3.095607
"GCIY",-0.321419,-0.077434,-2.37851,-0.889187,-2.849458,6.802589,3.937927,2.706831,-1.248566,4.995841,3.230318,4.228715,-2.044583,2.108652,4.693917,3.778052,2.769136,-3.324812,3.935825,2.315796,1.079808,2.563123,7.523785,4.466781,6.208329,-2.928894,-1.171112,-2.190839,2.543281,2.956941,2.54589,5.461596,-3.884693,-1.696275,4.47442,-3.303396,-5.021836,4.125594,2.524254,1.700608,12.062671,-2.715869,-3.001062,2.919018,1.030456,-3.449769,2.51651,6.256197,0.263376,1.164683,1.563235,0.166555,-1.371421,6.172519,6.481271,2.784495,5.688123,4.784678,0.329668,5.451256,1.36644,-0.085086,5.377707,3.92373,2.820815,-1.11249,0.077921,7.129216,6.435812,2.030179,1.70725,6.876639,6.081784,6.012431,4.917346,5.595375,-2.982432,-0.835163,-0.781901,-0.724585,3.427728,2.791754,3.598976,2.845834,2.284652,-3.058565,4.973866
"GI-1",-2.664261,-0.338033,-5.891118,-3.347932,-5.644697,7.163706,4.788227,2.066595,-1.142514,3.126064,1.454652,0.276179,-1.765661,1.937803,4.986867,3.553376,2.671766,-0.565127,1.546172,1.325344,0.3588,5.047196,7.290258,4.414886,1.687805,-7.506863,-1.291439,-0.321551,2.473297,2.641698,0.182329,4.316601,-1.912441,-2.543801,0.801784,-2.876447,-6.019285,4.095765,1.486991,1.310405,11.567459,-5.694309,-5.434828,0.724192,-1.082254,-7.321785,2.970025,6.271961,3.052585,1.663785,0.835269,3.296436,-2.236019,3.68549,6.154964,4.985919,6.174891,2.337306,-1.631657,3.301929,-0.605532,-1.927,3.938262,2.397636,3.246707,-4.796217,3.125259,4.601265,6.252087,2.277302,4.365193,5.783722,6.064601,5.125358,4.613618,6.146587,-2.808374,2.643743,1.655341,1.102422,5.784992,5.900925,5.245139,5.35207,2.846486,-2.058601,4.526941
"GI-ME-N",-2.371624,2.285048,0.745983,0.329943,-5.157612,7.15973,4.558569,7.067518,-1.636039,5.202202,-0.46094,4.012481,0.36547,1.969774,7.657554,2.710014,6.456312,-0.594666,3.886377,4.493216,2.43833,5.409743,7.979764,5.942925,2.750061,-4.005178,1.610456,-0.969354,1.100495,3.596915,-0.819191,5.617872,-2.600165,-2.755644,2.915227,-3.570591,-5.101991,3.99488,3.810532,3.26353,10.296886,-3.384665,-5.103339,2.393368,0.506616,-5.402953,-1.916215,4.302331,2.827505,5.435671,1.19244,0.459894,-0.590886,2.974238,5.383936,1.550306,5.834713,2.03462,-0.788345,4.675538,-1.750243,-0.258318,5.114153,4.222211,5.979345,-1.236754,3.435826,6.885573,6.149084,0.62342,2.272267,6.271992,6.987224,1.828447,1.51471,2.330031,-3.509542,3.012456,0.027878,-0.788974,4.354012,3.959707,5.283637,3.451108,1.408046,-0.908383,2.109571
"GMS-10",0.874376,4.093713,3.072974,1.34497,-2.048699,5.85997,3.782667,5.719761,0.430724,5.660121,1.786514,3.256805,1.044088,5.22812,7.690476,3.522622,7.159749,2.441874,4.449524,3.137139,2.999782,5.721714,7.554054,7.596053,4.498899,3.414942,0.94628,1.199154,4.634792,6.647126,7.653719,6.432645,-2.006655,-0.59743,5.320886,-0.718184,-2.242549,4.215222,5.385841,5.159912,6.496892,-4.918443,-4.484434,4.444863,-0.927464,-6.699812,3.083865,5.756241,3.505571,3.29078,1.487992,1.334171,-0.484131,6.381959,6.667199,1.206227,6.591684,4.084351,0.29677,5.196801,-0.770319,-2.703162,5.438439,5.224813,4.979779,-2.237813,0.710581,7.061887,3.897872,1.41694,2.388493,6.720487,6.440096,6.448536,5.388007,4.765837,-1.749072,5.030206,0.557681,-0.695706,5.014598,4.139847,4.061597,5.168847,3.204416,-0.813602,3.575768
"GOTO",-1.253305,1.852398,0.18463,-0.59112,-2.651581,6.595434,4.818494,1.767545,0.672087,5.96779,1.169503,4.098255,-0.211455,1.567141,7.046083,3.301127,3.377922,1.52352,6.1115,3.159915,4.209729,3.097921,5.897701,4.374402,1.230426,-2.985336,1.457929,1.228856,3.027479,6.776962,-0.597967,7.693694,-1.757582,0.090974,5.444105,-2.13726,-2.616886,3.023155,2.870968,6.160564,8.40924,-7.256143,-4.802781,1.127711,-0.857953,-5.884742,0.719556,3.684998,2.444134,0.975983,-0.31592,4.555871,0.195486,3.686724,5.543881,3.067354,5.552864,0.928271,-3.467402,2.805067,-0.061625,-0.79496,4.382225,1.195177,2.459551,-3.981796,3.461055,4.553908,5.399337,3.023725,1.36479,1.854986,3.330112,1.346339,2.416663,4.097209,-1.385127,3.512314,0.551352,0.975872,6.215959,4.249358,3.476496,6.151562,1.703977,-1.766404,3.031358
"GP5d",-3.013423,1.763205,-3.550148,-2.476932,-4.848402,7.325547,4.813957,6.149697,0.730127,5.491478,2.204215,5.716941,-0.664999,1.043195,6.455829,4.163084,5.621337,0.290997,2.193215,2.152015,0.134756,5.140984,7.423996,4.21773,2.650614,-3.176889,-1.490433,-2.918007,1.39961,2.847085,2.749575,6.879439,-3.603302,-0.656776,5.04948,-3.335283,-5.780464,3.842156,0.352736,2.016971,7.480087,-4.382802,-5.365777,3.187374,-2.282302,-5.615511,2.263224,2.328616,2.786165,1.565251,1.316275,3.910258,1.627166,3.785701,2.836328,1.504345,5.056983,2.793739,-0.886131,4.719362,-1.732025,-1.958706,4.618057,3.521302,6.360335,-1.486337,1.94218,6.791159,6.039641,4.591364,4.738954,5.063995,6.118368,2.717773,5.157215,5.767925,-0.833765,2.711208,1.484551,-1.61041,6.588017,4.001595,6.612967,5.704924,5.536529,-0.24621,5.737347
"GR-ST",-1.364846,1.900215,-9.72896,-2.109173,-4.794854,7.576515,4.965425,1.705659,-0.136539,6.017368,1.240493,2.027259,-0.43468,2.452563,5.360576,4.312251,-0.169081,-2.281056,4.221073,1.757597,2.330301,1.981617,2.394008,2.788421,1.307955,-4.555966,-7.341548,1.429438,2.351602,6.102137,3.139733,6.182498,-2.281811,0.090104,4.455715,-1.810116,-5.545021,4.017987,1.055902,2.630488,6.532806,-7.843008,-8.667395,0.773334,-2.217475,-5.348123,-1.515269,2.458784,0.229624,3.047138,-0.911892,4.707609,-6.664296,0.507329,1.132747,-0.990889,0.611557,-0.03518,-2.787111,2.941906,-2.299565,0.694006,-0.073079,4.337865,2.04837,-5.569261,0.906014,1.548852,1.984877,0.098995,2.403804,6.383575,5.18783,1.869857,0.227132,2.235687,-4.198943,-1.387558,-2.112094,1.633949,4.67518,3.554392,6.092745,4.308573,1.234547,-1.791014,2.449003
"GT3TKB",-2.700182,-0.900321,-3.153202,-1.144967,-7.19848,6.263672,4.629652,2.583241,-0.966441,5.824265,3.390732,5.432781,-1.196686,1.501456,5.489231,2.63388,2.775546,-1.06276,3.90642,1.286455,1.063965,5.086203,5.772852,3.836227,4.126465,-4.404724,-1.815046,0.592575,3.61402,2.873865,-4.983563,6.539852,-4.420963,-1.935471,4.470642,-3.160762,-7.330133,3.796457,1.101333,2.719994,9.11718,-6.328186,-6.920032,1.747899,-0.866235,-7.12925,1.471341,3.841485,3.401944,4.327367,1.12825,2.357584,-1.615258,4.253249,6.106237,2.697788,6.12001,2.94285,1.673972,4.995756,-0.866378,-2.823066,3.821662,4.566664,3.278436,-3.57332,2.945777,6.529007,6.026747,0.639966,2.510203,6.850056,6.163393,4.859543,3.767412,3.668475,-2.136385,2.784892,1.041805,1.825654,5.907708,2.356923,6.164818,4.104374,2.706584,-1.20203,3.209172
"H-EMC-SS",-0.875805,4.373392,-1.850516,0.037208,-0.737887,7.139669,4.740117,5.156575,-0.430014,4.656721,-0.992705,2.858097,0.569362,1.20352,7.287156,3.152631,5.886949,1.943779,4.501839,3.66139,2.337091,6.031746,2.902192,4.757676,1.181017,-8.426038,1.104908,-0.491176,2.098114,5.735245,4.686701,6.513728,-1.653023,-1.004367,1.770329,-0.900408,-1.48481,5.367361,11.834179,2.427547,11.732979,-2.347822,-1.3628,3.0519,-1.929121,-0.145617,3.033749,6.450724,3.823613,1.462864,2.632634,-0.086613,-0.260698,5.508732,5.203116,1.27695,3.877896,-2.20684,-1.260408,-0.268064,-0.854924,3.093088,4.678464,1.846741,6.579856,-5.603849,3.495532,6.263455,6.442206,2.240239,4.949343,3.293036,5.023039,1.854108,-1.057986,2.967124,-1.918643,2.632892,0.934719,-4.508092,6.196207,3.850742,4.750169,5.219066,3.644938,-0.972266,5.243812
"H4",-2.637277,-1.21556,-6.130519,-4.387066,-4.847167,7.088431,3.293827,0.621436,-1.968745,3.813961,-0.856822,1.796119,-0.823962,1.245792,5.174657,3.925143,-0.370404,-1.259034,4.488013,1.418614,0.951092,4.141887,8.012397,3.064528,2.716455,-6.223506,0.143573,-0.101418,5.113356,4.695015,-1.137124,4.547501,-4.293024,-3.841811,0.921328,-2.781433,-6.933116,3.668881,0.198451,5.06689,10.615057,-7.393273,-5.143505,1.550609,-1.29299,-6.003945,2.440231,5.179072,3.416593,5.402332,0.411524,1.209845,-6.837387,1.588097,3.626125,0.217168,5.855666,0.062243,-1.511323,3.697944,-4.305167,-3.476839,4.324851,5.195978,6.869157,-4.92677,4.103658,5.597023,1.828562,0.097139,3.864137,6.581214,6.753147,-0.411275,2.778076,0.147346,-4.368452,-0.161522,-0.509255,0.18927,5.404094,4.447081,6.180888,4.917379,0.064915,-0.896184,1.465814
"H9",-2.448311,0.696756,-4.878484,-1.888385,-4.713173,6.276166,5.053131,2.185251,3.365518,3.526579,4.620476,5.931964,3.209017,5.735984,5.985652,4.626838,0.560234,-0.822854,4.636506,3.369288,4.742398,0.454802,2.478411,1.954505,2.733093,-10.417877,-4.086984,4.626751,5.759761,6.52837,-3.946257,7.017681,-3.529827,-2.666165,7.356493,-6.275845,-5.769711,4.339258,1.570314,6.121192,6.827949,-6.999335,-4.692739,5.15506,-1.393266,-4.438522,-3.780777,6.880029,4.120634,2.881504,1.060503,1.823472,1.796099,6.293583,6.644623,3.933816,6.242864,3.465638,-1.95579,3.601582,-1.502755,0.93121,5.465,4.880339,6.489724,-1.507814,4.177681,6.344135,6.777884,1.651157,3.73486,6.69399,6.703253,6.639453,5.462705,5.786234,-1.921768,6.249002,0.107751,-1.0122,6.507072,4.943297,5.983201,4.06649,6.383266,-0.882929,6.568454
"HC-1",-3.288311,-0.615589,-8.024703,-1.854656,-5.550168,6.896797,4.787746,3.344316,1.063084,5.671954,-0.322889,2.06238,-1.199561,3.56678,6.344004,4.223235,0.876622,2.845811,3.192252,1.685988,2.54159,0.618388,2.087912,5.297661,-0.282382,-2.212565,0.65995,1.074497,4.450086,4.757696,-0.007118,5.926105,-3.201661,-0.309865,4.863813,-3.23053,-5.526157,4.012898,0.560465,3.575737,7.002717,-2.21789,-2.209515,4.881295,4.621674,-2.662756,-1.454575,4.711629,3.520024,4.638061,2.501755,3.734459,-1.091436,6.105993,6.056804,3.562749,6.225907,4.010466,0.818571,4.58372,2.346862,0.620982,5.105659,5.443313,4.839365,-3.796091,3.565477,6.277021,5.884056,5.124607,3.414229,5.791831,7.04991,2.511683,4.52005,4.775498,-1.069613,2.946218,0.493967,1.560222,6.576402,5.672484,5.880643,6.106792,2.143066,1.430252,5.211136
"HCC1143",2.349436,5.379319,2.794479,0.064291,-0.825181,5.802137,4.741472,5.06781,3.729935,3.490365,2.620584,4.174737,-0.047159,1.998635,9.47385,4.090632,6.765544,-0.635456,3.715033,1.966211,0.597756,1.920183,5.940278,7.521519,5.155744,-6.179226,-1.748919,1.971146,0.897588,2.37012,3.302914,4.866597,0.918919,-2.733709,4.245188,-1.770245,-2.239645,4.109267,2.590431,1.437233,7.30468,-1.801849,-3.392436,3.912727,0.979996,-5.606307,0.245238,7.332783,1.252139,3.374687,1.097353,0.368332,0.168999,5.324988,6.339058,3.363844,5.80568,2.621381,-1.524253,4.985494,0.772834,-1.7059,4.905816,5.582306,5.594901,-2.723794,0.834271,4.650999,6.7421,2.774859,4.267168,6.538553,6.894955,6.069723,3.596225,6.050422,-1.544717,1.70713,0.042262,-0.881854,6.175799,6.052514,4.69331,6.751499,3.589663,0.344765,5.208304
"HCC1187",-0.525147,4.296834,5.011121,2.188442,-4.278912,6.988659,4.878667,4.626032,2.067807,3.013516,4.17086,5.669453,-0.520563,2.953848,10.399423,4.274688,5.241389,0.0196,5.904744,4.057522,3.034641,4.003722,4.636898,6.83251,3.109343,-0.68281,0.533831,3.28825,2.115522,4.439561,3.493723,7.024362,0.44162,-1.096492,4.54208,1.454056,-3.788316,4.924787,2.029936,0.594092,7.399109,-1.142797,-5.242985,4.763958,3.697809,-6.51641,1.287871,6.798026,4.054021,4.316975,-2.590055,3.662672,2.658124,6.036666,5.83915,4.134344,5.94121,2.470897,-1.818547,-2.460873,-1.570865,4.258794,4.492,5.581416,4.343808,-3.238879,2.741965,6.683507,6.626169,1.063597,4.687272,7.007364,6.066095,5.458544,3.837849,5.838331,-0.55194,2.473068,1.759594,1.62853,3.004239,4.582023,3.483591,4.670859,2.936224,-0.855735,3.537011
"HCC1395",2.098167,6.304391,4.448986,0.055942,-4.463196,7.647709,4.579671,4.314446,-0.640017,1.583855,0.206553,3.550288,-0.433385,5.273012,9.187649,3.714219,4.782224,1.848505,4.615668,3.504444,-0.965651,3.307218,7.216141,7.509872,2.712492,-5.760442,0.656811,3.937773,4.845004,5.356629,-0.691276,6.797801,1.093941,-0.935233,0.948393,-1.952452,-1.702738,2.046575,2.702939,5.879683,9.105326,-2.40086,-4.255256,2.539183,3.913237,-4.221111,2.82069,7.737882,4.707325,4.546373,2.06059,2.506483,1.606395,3.736649,5.132568,2.935054,6.408777,1.185323,-1.339137,6.183028,2.234853,2.03879,4.547494,4.62525,4.978495,-3.903182,4.59616,6.505321,5.68451,3.460942,3.022777,6.634309,7.322649,6.060477,2.473745,2.582087,-1.552696,1.14948,0.756341,4.565561,5.749324,4.794434,5.471909,5.796025,3.285964,1.961942,5.641756
"HCC1419",-0.459279,7.073336,2.607972,1.248187,-0.924931,7.359855,3.660456,5.021329,3.450166,5.050347,3.963802,4.431134,0.085915,5.027378,9.377385,4.344619,6.265786,0.524584,0.850075,3.732873,1.359171,2.617745,7.123638,7.412722,5.746513,1.746619,0.602633,5.427797,5.517022,6.081851,5.534596,5.179364,-2.349545,-1.325193,2.648479,-3.53924,-2.793768,3.885329,1.536426,3.066317,8.049471,1.424478,-2.861983,3.385655,1.449894,-2.407232,2.625553,2.724705,2.010671,1.589364,0.29287,4.733424,-3.655473,5.728688,4.894829,4.712074,4.517839,2.018895,4.606892,2.759441,4.08082,-1.925761,4.508917,2.34621,6.543762,-3.932972,-1.010373,4.866668,5.592379,3.770475,5.115399,3.469225,3.996988,5.642593,4.949521,4.155223,-3.2517,0.793513,-0.140093,-2.39277,5.900914,3.736033,4.664517,3.242602,4.262484,-0.085352,6.179333
